Staff ID,Name,Email Address,Phone Number,Role
cu10000,Steve Aku,steve@gmail.com,0000,Amin
cu10001,Slim Great,slim@gmail.com,0001,CLR
cu10002,Tolu Tolu,tolu@gmail.com,0002,Academic Department
cu10003,Favour Eze,favour@gmail.com,0003,College
cu10004,Bola Bola,Bola@gmail.com,0004,Registry
cu10005,Enoch Monday,enoch@gmail.com,0005,Medical Centre
cu10006,Ben Ben,ben@gmail.com,0006,Student Affairs
cu10007,Kehinde kehinde,kinde@gmail.com,0007,Alumni
cu10008,Biola Ike,biola@gmail.com,0008,Chaplaincy
cu10009,Bukky Success,bukky@gmail.com,0009,CLDS
cu10010,Aku Tolu,aku@gmail.com,0010,CSIS
cu10011,Taiwo Taiwo,taiwo@gmail.com,0011,Tab
