Staff no,College,Department,Surname,Firstname,Email,Phone,Role
cu10000,CST,CIS,Aku,Steve ,steve@gmail.com,00000,Admin
cu10001,CBSS,CBS,Great,Slim,slim@gmail.com,00001,CLR
cu10002,CLDS,CC,Tolu,Tolu ,tolu@gmail.com,00002,Academic Department
cu10003,CHY,EE,Eze,Favour,favour@gmail.com,00003,College
cu10004,DSS,GG,Bola,Bola ,Bola@gmail.com,00004,Registry
cu10005,CST,GG,Monday,Enoch ,enoch@gmail.com,00005,Medical Centre
cu10006,CBSS,BB,Ben,Ben ,ben@gmail.com,00006,Student Affairs
cu10007,CLDS,HH,Kehinde,Kehinde ,kinde@gmail.com,00007,Alumni
cu10008,CHY,BN,Ike,Biola ,biola@gmail.com,00008,Chaplaincy
cu10009,DSS,HH,Success,Bukky ,bukky@gmail.com,00009,CLDS
cu10010,CST,HH,Tolu,Aku ,aku@gmail.com,00010,CSIS
cu10011,CBSS,EE,Taiwo,Taiwo ,taiwo@gmail.com,00011,Tab
