Staff no,College,Department,Surname,Firstname,Email,Phone,Role
cu10000,CST,CIS,Aku,Steve ,steve@gmail.com,0,Super Admin
cu10001,CBSS,CBS,Great,Slim,slim@gmail.com,1,CLR Admin Officer
cu10002,CLDS,CC,Tolu,Tolu ,tolu@gmail.com,2,Academic Admin Officer
cu10003,CHY,EE,Eze,Favour,favour@gmail.com,3,College Admin Officer
cu10004,DSS,GG,Bola,Bola ,Bola@gmail.com,4,Registry Admin Officer
cu10005,CST,GG,Monday,Enoch ,enoch@gmail.com,5,Health Center Admin Officer
cu10006,CBSS,BB,Ben,Ben ,ben@gmail.com,6,Student Affairs Admin Officer
cu10007,CLDS,HH,Kehinde,Kehinde ,kinde@gmail.com,7,Alumni Admin Officer
cu10008,CHY,BN,Ike,Biola ,biola@gmail.com,8,Chaplaincy
cu10009,DSS,HH,Success,Bukky ,bukky@gmail.com,9,Financial Services Admin Officer
cu10010,CST,HH,Tolu,Aku ,aku@gmail.com,10,CSIS Admin officer
cu10011,CBSS,EE,Taiwo,Taiwo ,taiwo@gmail.com,11,Tablet Admin Officer
